,0
0,-0.12948072817110753
1,0.23345388351875887
2,0.058156069208052934
3,-0.15019647324097005
4,0.0825935096659836
5,-0.16885266203242047
6,-0.036401755004680396
7,-0.17917930842845675
8,0.000841844179023764
9,0.04632323082528939
10,0.07708471779924864
11,-0.06955072364940422
12,0.023111315678541206
13,0.07454039630499708
14,-0.07622185871551058
15,-0.0454102698520256
16,0.07800932603994193
17,0.2962058375596857
18,0.005658290555850758
19,0.0005926099128024217
20,-0.08334647669989921
21,-0.06699571059544282
22,0.2257495977984222
23,-0.011807327725967166
24,0.09345268788904111
25,0.1171545397520924
26,0.09676837378073366
27,-0.08682835283453967
28,-0.06969453276448014
29,0.013212282746392641
30,0.30801318730817046
31,-0.10909195160090755
32,0.01994163966344482
33,-0.08535743590234202
34,-0.053491635354895845
35,0.3324194384401454
36,-0.043069880967502756
37,0.07637053060275768
38,0.31606434275273365
39,0.04100527373032514
40,-0.018354917303481846
41,-0.014332030427552827
42,-0.07830782938167934
43,-0.002411114052346956
44,0.03373943847309685
45,0.007122572726032947
46,0.03809028842449492
47,0.05867205029472891
48,-0.05861802299196714
49,-0.08804088128513472
50,0.24758795697094207
51,0.07319858452947646
52,-0.019927866679290945
53,-0.08422724360554457
54,-0.18052207531973333
55,0.12258727866998469
56,-0.14392382161176234
57,0.0397182889137676
58,0.07678649704989902
59,-0.1070000628912348
60,-0.10871620190497154
61,0.10414510568069636
62,0.035371451352555615
63,-0.15218964597499682
64,0.0005992499321196065
65,0.7809858699035798
66,0.3324368242741212
67,0.0874321225978854
68,0.017610444210983525
69,0.004133244558448052
70,3.833333352036453e-05
71,0.14806558035458628
72,4.7476779243597645e-05
73,1.4421185258781467e-06
74,2.4172883869982557e-05
75,0.00947916900542726
76,4.352096546030782e-06
77,7.149001701773147e-05
78,1.2726637312833932e-06
79,4.3622056437144044e-05
80,0.010923951574984339
81,4.834358981504672e-06
82,1.7905296129391165e-06
83,3.137882721206193e-08
84,4.980615024251415e-07
85,0.0010578234785448622
86,1.793542988876248e-07
87,0.039968528368222886
88,0.04407081518572207
89,0.04604203301151538
90,0.0010350863657642671
91,0.00105457922686331
92,0.0003785315418652073
93,0.026323398939436304
94,0.12369128879291191
